Datetime,PPO,DQN,EW,BH
2025-11-04 18:30:00,-0.0029830467437786203,-0.0029830467437786203,1.8744879711983813e-05,1.8744879711983813e-05
2025-11-04 19:00:00,-0.0036503907305341587,-0.0036503907305341587,3.3841557673591805e-05,3.3042761856814126e-05
2025-11-04 19:30:00,-0.0032609960567606725,-0.0032609960567606725,-0.0010964147277821633,-0.001097777222608801
2025-11-04 20:00:00,-0.002871837761441778,-0.002871837761441778,-0.0005738340409222752,-0.0005745759564037196
2025-11-04 20:30:00,-0.0029273983002960423,-0.0029273983002960423,-0.0011760274744129144,-0.001178037074732941
2025-11-05 14:30:00,-0.008836523716724415,-0.008836523716724415,0.0014276123361109446,0.001421160667914524
2025-11-05 15:00:00,-0.01006868464958385,-0.01006868464958385,0.0015772329155837204,0.0015696921430918792
2025-11-05 15:30:00,-0.011693792399016063,-0.011693792399016063,0.0015499958847110804,0.001543428058084429
2025-11-05 16:00:00,-0.01247924682477183,-0.01247924682477183,0.0019098730929854523,0.0019032585801321553
2025-11-05 16:30:00,-0.01337537519605068,-0.01337537519605068,0.002742750826776755,0.0027360424014486956
2025-11-05 17:00:00,-0.013882271548336086,-0.013882271548336086,0.002711734595734495,0.002706478063855347
2025-11-05 17:30:00,-0.01365854355985328,-0.01365854355985328,0.003055737015207797,0.003050968531817532
2025-11-05 18:00:00,-0.0130406146812338,-0.0130406146812338,0.00354567017723192,0.0035409697470364975
2025-11-05 18:30:00,-0.01318218430084043,-0.01318218430084043,0.0038703029044701806,0.0038665621914029447
2025-11-05 19:00:00,-0.014026184317138823,-0.014026184317138823,0.003503382762585272,0.003498831793360373
2025-11-05 19:30:00,-0.013663403138922281,-0.013663403138922281,0.00393761080111767,0.003932514971968434
2025-11-05 20:00:00,-0.013924562502858699,-0.013924562502858699,0.003263393746731749,0.0032580925230178133
2025-11-05 20:30:00,-0.014230283326702248,-0.014230283326702248,0.0014110624500446938,0.001403469551316609
2025-11-06 14:30:00,-0.006165302822086913,-0.006165302822086913,0.0004874250272318998,0.00047320440118316196
2025-11-06 15:00:00,-0.006609282872582896,-0.006609282872582896,4.1179416350393906e-05,2.8338924119524324e-05
2025-11-06 15:30:00,-0.0060956770330087015,-0.0060956770330087015,-0.003520513396025152,-0.003537168412309297
2025-11-06 16:00:00,-0.005526048899758617,-0.005526048899758617,-0.002668533158943818,-0.002685146942069068
2025-11-06 16:30:00,-0.004677178121502799,-0.004677178121502799,-0.00451640078793876,-0.004535400607871597
2025-11-06 17:00:00,-0.004941835026902924,-0.004941835026902924,-0.004932485963293382,-0.0049486224876718905
2025-11-06 17:30:00,-0.005986584337694414,-0.005986584337694414,-0.002649442218793772,-0.0026666179282186903
2025-11-06 18:00:00,-0.005916888151908191,-0.005916888151908191,-0.0030417715504939997,-0.0030585832099337975
2025-11-06 18:30:00,-0.005902860959093373,-0.005902860959093373,-0.002449693695825206,-0.0024670928996298686
2025-11-06 19:00:00,-0.0065024581668027895,-0.0065024581668027895,-0.0006048544347633353,-0.0006206082495463286
2025-11-06 19:30:00,-0.0063772252141135796,-0.0063772252141135796,-0.0014425992920934932,-0.0014575194401433393
2025-11-06 20:00:00,-0.006307214938773924,-0.006307214938773924,-0.002308389364531523,-0.0023240424206584453
2025-11-06 20:30:00,-0.005568613303997304,-0.005568613303997304,-0.0039927235682218,-0.004010492692995863
2025-11-07 14:30:00,-0.009690566109950532,-0.009690566109950532,-0.007909794281997036,-0.007936239377644833
2025-11-07 15:00:00,-0.007615806756316493,-0.007615806756316493,-0.008004521984646776,-0.008031658716390052
2025-11-07 15:30:00,-0.006805021550014454,-0.006805021550014454,-0.010326175099434643,-0.01035661190273347
2025-11-07 16:00:00,-0.005160751060360813,-0.005160751060360813,-0.009291015793937471,-0.00932542208664901
2025-11-07 16:30:00,-0.005020912992024013,-0.005020912992024013,-0.010019926853253385,-0.010055630112958248
2025-11-07 17:00:00,-0.005716394241931034,-0.005716394241931034,-0.009385994278591792,-0.009417504118280122
2025-11-07 17:30:00,-0.0053535050100661005,-0.0053535050100661005,-0.008555910038243231,-0.00858857678052224
2025-11-07 18:00:00,-0.00570906895500927,-0.00570906895500927,-0.0075295883699970124,-0.0075597977810558485
2025-11-07 18:30:00,-0.006633017524921673,-0.006633017524921673,-0.0074311598871173975,-0.007461732407007951
2025-11-07 19:00:00,-0.0066041904018030164,-0.0066041904018030164,-0.006764753495327151,-0.006794525305278535
2025-11-07 19:30:00,-0.00852631920341963,-0.00852631920341963,-0.004357738559869571,-0.004383256904270025
2025-11-07 20:00:00,-0.007999867587737321,-0.007999867587737321,-0.005783365613485891,-0.005808821539329544
2025-11-07 20:30:00,-0.008084287723286142,-0.008084287723286142,-0.003523100597176347,-0.003546700417755973
2025-11-10 14:30:00,-0.008215456032932162,-0.008215456032932162,0.00897077978310385,0.008943033329295903
2025-11-10 15:00:00,-0.00869929444849582,-0.00869929444849582,0.009408791778595264,0.00938014798253849
2025-11-10 15:30:00,-0.00910950853027012,-0.00910950853027012,0.006868635365015584,0.00683773631424006
2025-11-10 16:00:00,-0.009125189935008432,-0.009125189935008432,0.006801602429990709,0.006767953861867118
2025-11-10 16:30:00,-0.009978897649968803,-0.009978897649968803,0.00749201255294064,0.007459123252098916
2025-11-10 17:00:00,-0.009711351597443688,-0.009711351597443688,0.008255282472478268,0.00822291986436829
2025-11-10 17:30:00,-0.009611587945685679,-0.009611587945685679,0.010170377231943408,0.010139221204493544
2025-11-10 18:00:00,-0.008897934263611193,-0.008897934263611193,0.011042487614900679,0.011009172583319031
2025-11-10 18:30:00,-0.009077906595341979,-0.009077906595341979,0.011063492806732413,0.011031310758103392
2025-11-10 19:00:00,-0.0085836476785653,-0.0085836476785653,0.012178044678220912,0.012146142157345587
2025-11-10 19:30:00,-0.008879741904527902,-0.008879741904527902,0.012375874631834701,0.012344690946337862
2025-11-10 20:00:00,-0.00961867475425872,-0.00961867475425872,0.01216324277329755,0.012132508212854802
2025-11-10 20:30:00,-0.008567592279778503,-0.008567592279778503,0.01251041300639037,0.012479673172704929
2025-11-11 14:30:00,-0.004578000385353604,-0.004578000385353604,0.013210771493688793,0.013176072379073327
2025-11-11 15:00:00,-0.003933403561846062,-0.003933403561846062,0.010662052329267042,0.010630022077954528
2025-11-11 15:30:00,-0.0035690986050199453,-0.0035690986050199453,0.010625108129930875,0.010591485333500456
2025-11-11 16:00:00,-0.004335394596162917,-0.004335394596162917,0.01069355761888141,0.010659375125633364
2025-11-11 16:30:00,-0.004501298719848578,-0.004501298719848578,0.01104488014384796,0.01101011426216458
2025-11-11 17:00:00,-0.004050213828307463,-0.004050213828307463,0.012194719051803582,0.012161306646483423
2025-11-11 17:30:00,-0.004378858318251827,-0.004378858318251827,0.013019387772691585,0.012987357360818406
2025-11-11 18:00:00,-0.004289649319360144,-0.004289649319360144,0.013333961172119095,0.013303526000576677
2025-11-11 18:30:00,-0.004700998334610968,-0.004700998334610968,0.014022595517528798,0.013992361294320708
2025-11-11 19:00:00,-0.004583055651907407,-0.004583055651907407,0.014012940488553553,0.013981471800599771
